mouse_id,group,dt,experimental_day,time_sinse_start,drink,eat,eathand,groom,hang,rear,rest,sniff,walk
1a47565db6a51fa30972a6c4daa596,A,2018-08-08 00:00:00,0,0 days 15:00:00.000000000,26,2370,1158,1271,0,90,101760,1142,23
6e8419a758ee66fd3f2e037465a4d9,A,2018-08-08 00:00:00,0,0 days 15:00:00.000000000,722,1884,190,14792,9786,1887,55076,23012,491
00c8bb6a2e88c146bb592f11c5ff6e,A,2018-08-08 00:00:00,0,0 days 15:00:00.000000000,2393,24820,2524,14285,16587,4598,20024,19288,3321
ef14073df447232d768224845a28e4,A,2018-08-08 00:00:00,0,0 days 15:00:00.000000000,347,7787,1225,24419,80,351,61825,11608,198
c02ab2a7036e2d1f84854afd245f80,A,2018-08-08 00:00:00,0,0 days 15:00:00.000000000,0,15,2,91,0,0,71141,1711,0
820bbbe67939f4e2cc3e0f943dd7fa,A,2018-08-08 00:00:00,0,0 days 15:00:00.000000000,20,10743,1373,12500,1075,411,77465,3974,279
1a47565db6a51fa30972a6c4daa596,A,2018-08-08 01:00:00,0,0 days 16:00:00.000000000,52,4305,4207,1688,1091,624,37445,2423,133
6e8419a758ee66fd3f2e037465a4d9,A,2018-08-08 01:00:00,0,0 days 16:00:00.000000000,0,0,0,6,0,0,29264,170,0
00c8bb6a2e88c146bb592f11c5ff6e,A,2018-08-08 01:00:00,0,0 days 16:00:00.000000000,43,5540,316,4986,840,204,28764,896,139
ef14073df447232d768224845a28e4,A,2018-08-08 01:00:00,0,0 days 16:00:00.000000000,305,2492,155,1503,9324,1194,12,2919,272
c02ab2a7036e2d1f84854afd245f80,A,2018-08-08 01:00:00,0,0 days 16:00:00.000000000,977,12041,1433,2911,8262,5277,58945,16974,1020
820bbbe67939f4e2cc3e0f943dd7fa,A,2018-08-08 01:00:00,0,0 days 16:00:00.000000000,370,25294,2326,8151,13030,2128,1046,11720,1215
1a47565db6a51fa30972a6c4daa596,A,2018-08-08 02:00:00,0,0 days 17:00:00.000000000,53,2960,5713,6991,729,379,86058,4793,164
6e8419a758ee66fd3f2e037465a4d9,A,2018-08-08 02:00:00,0,0 days 17:00:00.000000000,2520,22259,1503,11479,34606,6339,618,26634,1882
00c8bb6a2e88c146bb592f11c5ff6e,A,2018-08-08 02:00:00,0,0 days 17:00:00.000000000,21,7841,80,8258,0,260,89766,1532,82
ef14073df447232d768224845a28e4,A,2018-08-08 02:00:00,0,0 days 17:00:00.000000000,32,6710,1415,28867,3773,867,48627,17137,412
c02ab2a7036e2d1f84854afd245f80,A,2018-08-08 02:00:00,0,0 days 17:00:00.000000000,625,15713,2622,5631,7072,4207,40552,30538,880
820bbbe67939f4e2cc3e0f943dd7fa,A,2018-08-08 02:00:00,0,0 days 17:00:00.000000000,25,5016,202,14554,2456,330,62484,21777,996
1a47565db6a51fa30972a6c4daa596,A,2018-08-08 03:00:00,0,0 days 18:00:00.000000000,1332,33622,4838,5665,16178,3278,23532,17567,1828
6e8419a758ee66fd3f2e037465a4d9,A,2018-08-08 03:00:00,0,0 days 18:00:00.000000000,711,1265,81,14557,4855,472,77047,8745,107
00c8bb6a2e88c146bb592f11c5ff6e,A,2018-08-08 03:00:00,0,0 days 18:00:00.000000000,1537,13788,435,18954,2497,1007,65017,3885,720
ef14073df447232d768224845a28e4,A,2018-08-08 03:00:00,0,0 days 18:00:00.000000000,1505,10525,6502,14899,15585,2177,34059,21291,1297
c02ab2a7036e2d1f84854afd245f80,A,2018-08-08 03:00:00,0,0 days 18:00:00.000000000,668,7348,1138,7071,2427,4094,52190,32581,323
820bbbe67939f4e2cc3e0f943dd7fa,A,2018-08-08 03:00:00,0,0 days 18:00:00.000000000,0,3366,1100,11174,1123,557,84339,5965,216
1a47565db6a51fa30972a6c4daa596,A,2018-08-08 04:00:00,0,0 days 19:00:00.000000000,380,6141,2252,7590,1321,860,83604,5475,217
6e8419a758ee66fd3f2e037465a4d9,A,2018-08-08 04:00:00,0,0 days 19:00:00.000000000,944,13604,2140,20692,28392,5276,6576,28218,1998
00c8bb6a2e88c146bb592f11c5ff6e,A,2018-08-08 04:00:00,0,0 days 19:00:00.000000000,4965,23132,1648,23249,12900,4199,24359,10160,3228
ef14073df447232d768224845a28e4,A,2018-08-08 04:00:00,0,0 days 19:00:00.000000000,556,12567,5409,20264,10818,3202,38751,15255,1018
c02ab2a7036e2d1f84854afd245f80,A,2018-08-08 04:00:00,0,0 days 19:00:00.000000000,563,14776,2894,6176,2199,2071,51834,26995,332
820bbbe67939f4e2cc3e0f943dd7fa,A,2018-08-08 04:00:00,0,0 days 19:00:00.000000000,103,29095,2491,24972,14246,2066,26785,7061,1021
1a47565db6a51fa30972a6c4daa596,A,2018-08-08 05:00:00,0,0 days 20:00:00.000000000,385,12958,3946,10051,17348,3051,26740,32223,1138
6e8419a758ee66fd3f2e037465a4d9,A,2018-08-08 05:00:00,0,0 days 20:00:00.000000000,1393,24087,2042,7053,25857,6576,826,38154,1852
00c8bb6a2e88c146bb592f11c5ff6e,A,2018-08-08 05:00:00,0,0 days 20:00:00.000000000,2615,19959,2887,21025,13755,3917,8104,32543,3035
ef14073df447232d768224845a28e4,A,2018-08-08 05:00:00,0,0 days 20:00:00.000000000,281,15266,3952,14914,7663,2492,33879,28501,892
c02ab2a7036e2d1f84854afd245f80,A,2018-08-08 05:00:00,0,0 days 20:00:00.000000000,2017,22597,5955,7021,10730,6838,13619,37543,1520
820bbbe67939f4e2cc3e0f943dd7fa,A,2018-08-08 05:00:00,0,0 days 20:00:00.000000000,323,28528,4532,16160,16151,2383,21375,16551,1837
1a47565db6a51fa30972a6c4daa596,A,2018-08-08 06:00:00,0,0 days 21:00:00.000000000,593,6428,6701,20609,7587,2300,15699,47151,772
